agentapi-bin 0.9.0-1
aider-chat-venv 0.85.0-1
claude-code 2.0.5-1
cloudflare-warp-bin 2025.7.176-1
cockpit-navigator 0.5.12-2
coppwr 1.7.0-1
crush 0.10.4-1
discord-canary 0.0.772-1
fabric-ai 1.4.273-1
firefox-nightly-bin 142.0a1.20250623.212838-1
gitflow-fishcompletion-avh 0.6.0-1
google-cloud-cli 540.0.0-1
helix-ghost-bin 1.0.1-1
kestrel 1.0.2-1
llm 0.1.1-5
mods 1.8.1-1
mosh-agent 1.4.0-5
ngpt 6.7.2-1
nodejs-ajv-cli 5.0.0-1
nvim-treesitter-parsers-main-git r6181.77362027f-1
oh-my-zsh-git r7606.d57775d89-1
opcode-bin 0.2.0-1
opencode-ai-bin 0.0.55-1
pgvector 0.8.1-1
pipewire-autostart 1.0-1
pipxu 1.30-1
pw-volume 0.5.0-1
pwvucontrol 0.4.9-1
pyinstaller 6.16.0-1
python-altgraph 0.17.4-1
qwen-code 0.0.15n1-1
rcm 1.3.6-1
ripcord 0.4.29-1
rtfm 0.1.0-1
slack-desktop 4.46.99-1
spotify 1:1.2.63.394-1
supabase 2.34.3-1
teams 1.5.00.23861-1
ttf-bitstream-charter 1.0-5
ttf-cooper-hewitt 1.1-1
ttf-courier-prime 1.203-5
ttf-heuristica 1.0.2-5
ttf-merriweather 1:2.100-1
ttf-merriweather-sans 2.001-1
ttf-mplus-git r490.6b928fb-1
ttf-oswald 4.101-3
ttf-quintessential 1.001-6
ttf-signika 2.003-3
ttyc-git 20220917.v0.4.0.ttyc.g9f65fc3-1
ttyd-addon 1.1.0-1
visual-studio-code-bin 1.104.3-1
webcord 4.11.1-1
xsp 4.7.1-3
zplug 2.4.2-1
zsh-antidote 1.9.10-1
