acpi 1.8-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
agentapi-bin 0.9.0-1
aider-chat-venv 0.85.0-1
alsa-firmware 1.2.4-4
alsa-utils 1.2.14-1
arandr 0.1.11-4
arc-gtk-theme-eos 20221218-2
arch-wiki-docs 20250801-1
arch-wiki-lite 20250801-1
archlinux-xdg-menu 0.7.6.6-2
ast-grep 0.38.2-1
autorandr 1.15-1
autossh 1.4g-4
awesome-terminal-fonts 1.1.0-5
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bat-extras 2024.08.24-1
bc 1.08.2-1
bind 9.20.13-1
bitwarden 2025.8.1-1
bitwarden-cli 2025.8.0-1
bluez-utils 5.84-1
brightnessctl 0.5.1-3
btop 1.4.5-1
btrfs-progs 6.16.1-1
byobu 6.13-1
calc 2.15.1.1-1
cantarell-fonts 1:0.303.1-2
chatblade 0.7.0-2
chromium 141.0.7390.54-1
cloc 2.06-1
cloudflare-warp-bin 2025.7.176-1
cloudflared 2025.9.1-1
cockpit-docker 16-2
cockpit-files 29-1
cockpit-navigator 0.5.12-2
cockpit-podman 114-1
cockpit-storaged 348-1
composer 2.8.12-1
coppwr 1.7.0-1
cosmic-settings 1.0.0.beta.1.1-1
crush 0.10.4-1
dateutils 0.4.11-3
dex 0.9.0-2
direnv 2.37.1-1
discord 1:0.0.111-1
discord-canary 0.0.772-1
dmenu 5.4-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
docker-buildx 0.29.0-1
docker-compose 2.40.0-1
dosfstools 4.2-5
dotnet-sdk 9.0.9.sdk110-1
dotnet-sdk-6.0 6.0.36.sdk136-2
dotnet-sdk-7.0 7.0.20.sdk120-2
dotnet-sdk-8.0 8.0.20.sdk120-1
dotnet-source-built-artifacts-8.0 8.0.20.sdk120-1
downgrade 11.5.4-1
dpkg 1.22.21-1
duf 0.9.1-1
dunst 1.13.0-1
efibootmgr 18-3
efitools 1.9.2-6
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 25.7-1
endeavouros-xfce4-terminal-colors 6-1
eos-apps-info 25-1
eos-hooks 1.16-1
eos-lightdm-slick-theme 3.2-1
eos-log-tool 25.5-1
eos-packagelist 2.3.1-2
eos-quickstart 1.4.1-1
eos-rankmirrors 25.9.1-1
eos-settings-i3wm 5.0-1
ethtool 1:6.15-1
exfatprogs 1.2.9-1
f2fs-tools 1.16.0-3
fabric-ai 1.4.273-1
feh 3.11.2-2
ffmpegthumbnailer 2.2.3-3
firefox 143.0.3-1
firefox-nightly-bin 142.0a1.20250623.212838-1
foot 1.24.0-1
fwupd 2.0.16-1
galculator 2.1.4-10
git-delta 0.18.2-4
gitflow-fishcompletion-avh 0.6.0-1
github-cli 2.81.0-1
glances 4.3.3-1
glow 2.1.1-1
go 2:1.25.1-2
go-yq 4.47.2-1
google-cloud-cli 540.0.0-1
gparted 1.7.0-1
gpick 0.3-2
grim 1.5.0-2
gst-libav 1.26.6-2
gst-plugin-pipewire 1:1.4.8-2
gst-plugins-bad 1.26.6-2
gst-plugins-ugly 1.26.6-2
gum 0.17.0-1
gvfs-afc 1.58.0-1
gvfs-gphoto2 1.58.0-1
gvfs-mtp 1.58.0-1
gvfs-nfs 1.58.0-1
gvfs-smb 1.58.0-1
gvim 9.1.1734-1
haveged 1.9.19-1
hdparm 9.65-3
helix-ghost-bin 1.0.1-1
htop 3.4.1-1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2
i3-wm 4.24-1
i3blocks 1.5-4
i3lock 2.15-3
i3status 2.15-1
inetutils 2.6-1
inotify-tools 4.25.9.0-1
intel-ucode 20250812-1
inxi 3.3.39.1-1
iwd 3.10-1
jc 1.25.5-1
jfsutils 1.1.15-9
jq 1.8.1-1
just 1.43.0-1
kernel-install-for-dracut 1.13-1
kestrel 1.0.2-1
keychain 2.9.6-1
kitty 0.43.1-1
lazydocker 0.24.1-2
lazygit 0.55.1-1
libdvdcss 1.5.0-1
libgsf 1.14.53-2
libopenraw 0.3.7-2
libwnck3 43.3-1
linux-firmware 20250917-1
linux-headers 6.16.10.arch1-1
llm 0.1.1-5
logrotate 3.22.0-1
lshw B.02.20-1
lsscsi 0.32-2
luarocks 3.12.2-1
lvm2 2.03.35-1
